author_type,floor,floors_count,rooms_count,total_meters,underground,availability_underground,price_per_meter
real_estate_agent,26,41,2,46.0,Шелепиха,True,455435
real_estate_agent,11,12,1,33.5,Улица Академика Янгеля,True,238806
real_estate_agent,9,12,2,88.0,Маяковская,True,674432
real_estate_agent,4,7,1,31.1,Академическая,True,192926
real_estate_agent,4,20,2,64.29,Тульская,True,375900
real_estate_agent,1,8,2,48.3,Проспект Ветеранов,True,179089
real_estate_agent,9,12,2,99.0,Маяковская,True,977273
real_estate_agent,3,12,2,37.0,Селигерская,True,256757
developer,2,10,2,33.0,not available,False,954300
real_estate_agent,4,4,2,55.3,Проспект Ветеранов,True,126401
real_estate_agent,8,29,2,69.1,Шаболовская,True,450000
realtor,17,25,1,36.8,Чертановская,True,269022
real_estate_agent,4,4,1,31.9,not available,False,125392
developer,2,16,2,64.3,not available,False,105000
real_estate_agent,5,21,2,64.76,Улица 1905 года,True,1057752
real_estate_agent,10,32,2,64.4,Поклонная,True,791925
real_estate_agent,4,16,2,37.0,Москва-Сити,True,513514
unknown,16,41,2,51.0,Шелепиха,True,666667
homeowner,3,24,2,53.2,Верхние котлы,True,367857
developer,2,16,1,37.9,not available,False,140000
unknown,6,42,1,42.0,Шелепиха,True,690476
real_estate_agent,4,4,1,42.7,Проспект Ветеранов,True,130913
developer,3,8,2,76.9,not available,False,299090
real_estate_agent,5,6,2,43.0,Белорусская,True,625581
real_estate_agent,10,14,2,56.7,Филёвский парк,True,392104
real_estate_agent,2,21,2,57.23,Улица 1905 года,True,1030928
real_estate_agent,9,18,2,66.4,Воробьёвы горы,True,1049699
realtor,8,22,1,40.0,Люблино,True,332250
developer,2,18,2,49.5,Площадь 1905 года,True,156162
real_estate_agent,9,20,2,59.0,Тульская,True,430000
realtor,4,17,2,74.0,Пионерская,True,233784
developer,19,25,2,38.54,not available,False,133368
realtor,6,9,2,75.0,Маяковская,True,865333
realtor,5,17,2,60.0,Марьино,True,309167
developer,2,8,1,70.3,not available,False,227596
real_estate_agent,9,40,1,41.5,ЦСКА,True,771084
real_estate_agent,14,16,2,50.5,Отрадное,True,277228
real_estate_agent,24,24,2,58.0,Шелепиха,True,646379
realtor,7,12,2,55.0,not available,False,243636
realtor,4,9,2,43.1,Аэропорт,True,684455
real_estate_agent,2,7,2,55.0,not available,False,161800
developer,3,18,1,34.1,Площадь 1905 года,True,173050
homeowner,7,15,2,46.5,ЦСКА,True,513978
developer,14,24,2,53.3,not available,False,171857
real_estate_agent,39,41,2,56.9,Аэропорт,True,702988
developer,6,23,2,52.3,Машиностроителей,True,131778
real_estate_agent,9,12,2,53.34,Маяковская,True,749438
real_estate_agent,4,6,1,35.1,Курская,True,655271
developer,15,19,2,42.1,not available,False,193112
real_estate_agent,9,12,2,79.8,Маяковская,True,601504
developer,24,25,1,33.37,not available,False,123165
real_estate_agent,13,41,1,41.5,Аэропорт,True,746988
developer,22,28,2,48.1,Динамо,True,237193
homeowner,10,10,1,38.5,Лермонтовский проспект,True,292987
representative_developer,2,12,2,52.68,not available,False,122627
real_estate_agent,3,20,1,59.0,Улица 1905 года,True,1047458
developer,4,24,2,57.34,not available,False,111180
real_estate_agent,37,37,2,48.0,Аэропорт,True,885417
homeowner,2,9,2,37.4,Коломенская,True,387433
developer,3,21,2,72.09,Козья слобода,True,274705
real_estate_agent,3,15,2,58.54,Улица 1905 года,True,1042023
developer,21,25,2,33.84,Уральская,True,175086
real_estate_agent,2,21,2,71.9,Улица 1905 года,True,904033
realtor,10,17,1,45.0,Пионерская,True,308889
developer,18,23,1,32.7,Машиностроителей,True,146911
real_estate_agent,3,15,2,58.54,Улица 1905 года,True,1042023
real_estate_agent,6,10,1,31.7,not available,False,229653
developer,23,25,2,38.68,not available,False,140641
real_estate_agent,5,21,2,117.0,Улица 1905 года,True,982906
real_estate_agent,11,14,1,35.0,Кутузовская,True,397143
developer,2,9,2,40.15,not available,False,130262
real_estate_agent,9,32,2,62.7,Поклонная,True,794258
real_estate_agent,3,14,1,39.0,Новопеределкино,True,238462
developer,4,13,1,47.1,not available,False,177902
realtor,7,17,2,60.3,Некрасовка,True,217247
real_estate_agent,3,14,1,43.5,Марьино,True,275862
developer,17,25,2,40.82,not available,False,156051
real_estate_agent,59,85,2,90.3,Деловой центр,True,830565
realtor,2,9,1,31.8,Молодёжная,True,383333
developer,2,29,1,34.6,Динамо,True,247312
real_estate_agent,5,9,2,45.0,Новаторская,True,355333
developer,18,24,2,58.8,Геологическая,True,275850
real_estate_agent,5,21,2,64.76,Улица 1905 года,True,1057752
developer,3,16,2,78.1,Динамо,True,394264
real_estate_agent,10,41,2,47.4,Аэропорт,True,864979
realtor,5,13,2,59.8,Марьино,True,273411
developer,2,24,1,40.58,not available,False,129720
real_estate_agent,10,32,2,64.4,Поклонная,True,791925
realtor,9,9,1,36.9,Братиславская,True,239837
real_estate_agent,16,19,2,45.8,Динамо,True,698690
developer,4,9,1,32.44,Рыбацкое,True,157910
real_estate_agent,7,8,2,70.0,not available,False,385714
real_estate_agent,5,9,2,65.0,not available,False,507692
developer,13,19,2,51.8,Машиностроителей,True,146602
real_estate_agent,6,6,2,65.8,Павелецкая,True,714286
real_estate_agent,19,23,1,36.4,Беговая,True,241758
developer,10,24,1,45.8,Козья слобода,True,345195
realtor,15,28,2,64.5,Раменки,True,759690
real_estate_agent,21,24,2,52.4,Арбатская,True,666031
real_estate_agent,11,15,1,36.3,Комендантский проспект,True,225895
developer,24,25,1,30.41,not available,False,144360
real_estate_agent,24,24,2,57.4,Шелепиха,True,652962
real_estate_agent,2,3,2,50.0,not available,False,224000
developer,6,9,1,40.6,not available,False,130788
real_estate_agent,5,24,2,75.0,Шелепиха,True,640000
