author_type,floor,floors_count,rooms_count,total_meters,underground,availability_underground,price_per_meter
real_estate_agent,11,12,1,33.5,Улица Академика Янгеля,True,238806
real_estate_agent,4,7,1,31.1,Академическая,True,192926
real_estate_agent,4,20,2,64.29,Тульская,True,375900
real_estate_agent,1,8,2,48.3,Проспект Ветеранов,True,179089
real_estate_agent,3,12,2,37.0,Селигерская,True,256757
realtor,17,25,1,36.8,Чертановская,True,269022
homeowner,3,24,2,53.2,Верхние котлы,True,367857
developer,2,16,1,37.9,not available,False,140000
real_estate_agent,4,4,1,42.7,Проспект Ветеранов,True,130913
developer,3,8,2,76.9,not available,False,299090
real_estate_agent,10,14,2,56.7,Филёвский парк,True,392104
realtor,8,22,1,40.0,Люблино,True,332250
developer,2,18,2,49.5,Площадь 1905 года,True,156162
real_estate_agent,9,20,2,59.0,Тульская,True,430000
realtor,4,17,2,74.0,Пионерская,True,233784
developer,19,25,2,38.54,not available,False,133368
realtor,5,17,2,60.0,Марьино,True,309167
developer,2,8,1,70.3,not available,False,227596
real_estate_agent,14,16,2,50.5,Отрадное,True,277228
realtor,7,12,2,55.0,not available,False,243636
real_estate_agent,2,7,2,55.0,not available,False,161800
developer,3,18,1,34.1,Площадь 1905 года,True,173050
developer,14,24,2,53.3,not available,False,171857
developer,6,23,2,52.3,Машиностроителей,True,131778
developer,15,19,2,42.1,not available,False,193112
homeowner,10,10,1,38.5,Лермонтовский проспект,True,292987
homeowner,2,9,2,37.4,Коломенская,True,387433
developer,3,21,2,72.09,Козья слобода,True,274705
developer,21,25,2,33.84,Уральская,True,175086
realtor,10,17,1,45.0,Пионерская,True,308889
developer,18,23,1,32.7,Машиностроителей,True,146911
real_estate_agent,6,10,1,31.7,not available,False,229653
real_estate_agent,11,14,1,35.0,Кутузовская,True,397143
developer,2,9,2,40.15,not available,False,130262
real_estate_agent,3,14,1,39.0,Новопеределкино,True,238462
developer,4,13,1,47.1,not available,False,177902
realtor,7,17,2,60.3,Некрасовка,True,217247
real_estate_agent,3,14,1,43.5,Марьино,True,275862
developer,17,25,2,40.82,not available,False,156051
realtor,2,9,1,31.8,Молодёжная,True,383333
real_estate_agent,5,9,2,45.0,Новаторская,True,355333
developer,18,24,2,58.8,Геологическая,True,275850
developer,3,16,2,78.1,Динамо,True,394264
realtor,5,13,2,59.8,Марьино,True,273411
realtor,9,9,1,36.9,Братиславская,True,239837
developer,4,9,1,32.44,Рыбацкое,True,157910
real_estate_agent,7,8,2,70.0,not available,False,385714
developer,13,19,2,51.8,Машиностроителей,True,146602
real_estate_agent,19,23,1,36.4,Беговая,True,241758
developer,10,24,1,45.8,Козья слобода,True,345195
real_estate_agent,11,15,1,36.3,Комендантский проспект,True,225895
real_estate_agent,2,3,2,50.0,not available,False,224000
developer,6,9,1,40.6,not available,False,130788
realtor,9,9,2,50.0,Сходненская,True,350000
developer,21,25,1,37.39,not available,False,148859
real_estate_agent,4,14,2,57.7,Приморская,True,265000
developer,11,16,2,47.1,Ботаническая,True,139686
developer,2,10,2,69.56,not available,False,320000
representative_developer,2,14,2,65.8,not available,False,142000
developer,4,24,1,40.4,Геологическая,True,253639
homeowner,3,17,1,38.0,Свиблово,True,360526
developer,2,16,1,55.9,Динамо,True,383936
real_estate_agent,3,5,2,67.2,Спортивная,True,424107
homeowner,3,9,2,44.0,Отрадное,True,352273
real_estate_agent,5,13,1,36.62,Приморская,True,251229
developer,2,25,1,30.4,Машиностроителей,True,206842
developer,3,6,2,45.4,not available,False,130000
homeowner,12,12,1,39.1,Сходненская,True,322251
real_estate_agent,3,9,2,37.0,Бабушкинская,True,356730
developer,2,9,2,73.9,Динамо,True,349648
developer,3,16,1,35.8,Ботаническая,True,157397
real_estate_agent,3,11,2,53.0,not available,False,420755
developer,14,25,2,70.6,Геологическая,True,166190
real_estate_agent,8,22,2,87.2,Поклонная,True,435780
real_estate_agent,10,10,2,45.5,not available,False,269231
developer,3,6,1,33.4,not available,False,137000
realtor,2,15,1,31.9,ЦСКА,True,368598
developer,21,22,1,34.4,not available,False,148417
developer,16,19,2,50.3,Горки,True,183600
real_estate_agent,2,9,2,74.0,Аминьевская,True,405405
real_estate_agent,8,13,2,57.9,Приморская,True,280000
homeowner,8,12,1,38.8,Домодедовская,True,350000
real_estate_agent,10,12,2,44.0,Грачёвская,True,245455
developer,15,17,1,36.43,not available,False,135603
developer,2,8,1,42.64,Проспект Космонавтов,True,182070
developer,4,12,2,55.2,not available,False,146800
developer,4,19,1,31.8,Горки,True,278000
homeowner,9,9,2,60.0,Химки,True,300000
representative_developer,2,7,1,39.4,not available,False,160000
real_estate_agent,5,6,1,35.0,not available,False,288571
real_estate_agent,2,4,1,31.0,not available,False,383871
developer,3,22,2,69.09,not available,False,210300
real_estate_agent,4,4,2,40.0,not available,False,287500
real_estate_agent,9,14,1,38.5,Зеленоград — Крюково,True,187013
real_estate_agent,5,6,1,40.0,not available,False,300000
developer,2,17,1,35.8,Горки,True,245000
developer,5,9,2,83.43,Суконная слобода,True,348100
real_estate_agent,3,8,2,55.5,Университет,True,432432
real_estate_agent,15,22,1,30.6,Стрешнево,True,444444
developer,2,16,1,26.7,not available,False,136712
real_estate_agent,13,17,2,67.7,Автозаводская,True,409158
developer,2,5,2,61.01,Кремлёвская,True,328700
real_estate_agent,15,20,2,79.4,Нагатинская,True,376196
homeowner,6,9,2,47.0,Приморская,True,282979
homeowner,9,10,1,44.0,not available,False,193182
developer,10,22,1,37.8,not available,False,267937
real_estate_agent,6,17,1,43.4,Технопарк,True,440092
real_estate_agent,12,22,2,52.0,Стрешнево,True,382692
real_estate_agent,12,14,1,31.0,not available,False,351613
real_estate_agent,9,20,1,39.74,Тульская,True,422800
developer,3,21,2,59.6,Павелецкая,True,389385
developer,4,5,1,40.17,Кремлёвская,True,360000
realtor,5,10,2,56.0,not available,False,271429
representative_developer,2,4,2,77.0,not available,False,248312
real_estate_agent,2,10,1,46.7,Удельная,True,310000
real_estate_agent,7,9,2,78.0,not available,False,253846
real_estate_agent,1,25,1,30.4,Комендантский проспект,True,256579
developer,5,8,2,44.6,Площадь 1905 года,True,174058
real_estate_agent,4,11,1,52.4,Обводный канал,True,379771
developer,2,10,2,43.53,not available,False,213400
real_estate_agent,10,12,2,65.0,not available,False,264615
real_estate_agent,1,9,2,48.0,Нахимовский проспект,True,310417
real_estate_agent,3,6,1,52.0,not available,False,391538
developer,3,9,1,55.0,Динамо,True,341609
real_estate_agent,3,6,1,47.3,not available,False,383087
real_estate_agent,17,20,2,65.0,not available,False,258462
developer,4,20,1,27.3,Аметьево,True,314775
representative_developer,2,4,1,29.45,not available,False,358574
real_estate_agent,15,21,2,76.0,not available,False,263158
real_estate_agent,1,12,2,54.8,Перово,True,259124
developer,10,19,1,31.0,Площадь 1905 года,True,169287
developer,19,25,2,57.7,Авиамоторная,True,431800
developer,13,27,2,61.78,Геологическая,True,195678
real_estate_agent,4,10,2,64.3,Удельная,True,325000
real_estate_agent,4,14,2,53.0,not available,False,216038
real_estate_agent,9,12,1,39.0,Тропарёво,True,346154
developer,2,25,2,39.4,not available,False,156600
real_estate_agent,14,17,1,39.0,not available,False,410256
real_estate_agent,1,16,2,54.0,Ясенево,True,255556
real_estate_agent,2,6,2,58.0,Тушинская,True,318966
real_estate_agent,8,8,2,50.0,not available,False,130000
real_estate_agent,21,22,1,39.0,Алма-Атинская,True,289744
developer,2,22,1,49.7,not available,False,197700
developer,4,20,2,36.0,Коптево,True,396123
developer,3,4,1,36.32,not available,False,373950
real_estate_agent,8,17,1,28.0,not available,False,319643
representative_developer,2,4,2,70.03,not available,False,178495
real_estate_agent,13,25,1,38.8,Бульвар Генерала Карбышева,True,381443
real_estate_agent,15,18,1,38.5,Стрешнево,True,428571
real_estate_agent,17,22,1,43.5,Стрешнево,True,441379
realtor,2,12,2,57.0,Молодёжная,True,426316
real_estate_agent,15,25,2,73.0,Аминьевская,True,349315
developer,9,25,2,85.3,Заельцовская,True,173039
real_estate_agent,4,9,2,45.0,Войковская,True,388667
real_estate_agent,4,5,2,53.9,Университет,True,367161
real_estate_agent,13,17,2,52.2,Тропарёво,True,382184
real_estate_agent,7,25,2,62.9,Тушинская,True,325914
real_estate_agent,18,27,2,60.0,Авиамоторная,True,383333
realtor,19,24,2,60.0,Бульвар Рокоссовского,True,386667
realtor,11,24,2,61.4,Отрадное,True,407003
real_estate_agent,3,8,2,57.7,Вавиловская,True,441924
real_estate_agent,6,7,2,70.0,not available,False,264286
realtor,5,15,2,37.3,not available,False,155496
representative_developer,2,3,2,67.78,not available,False,140000
real_estate_agent,15,25,1,48.0,Аметьево,True,206250
homeowner,3,14,2,52.0,Зеленоград — Крюково,True,197096
real_estate_agent,2,16,2,54.0,Ясенево,True,287037
real_estate_agent,7,10,2,48.25,not available,False,352332
realtor,5,6,2,70.0,Площадь Александра Невского,True,260714
real_estate_agent,18,22,1,43.2,Стрешнево,True,444444
real_estate_agent,1,5,2,58.8,Марксистская,True,414966
representative_developer,4,23,2,51.9,not available,False,135000
real_estate_agent,5,7,2,36.0,not available,False,216667
real_estate_agent,4,10,1,48.0,Горки,True,191667
real_estate_agent,20,26,2,51.0,Аметьево,True,194098
real_estate_agent,5,7,2,54.3,not available,False,232044
real_estate_agent,5,9,2,54.5,not available,False,256881
real_estate_agent,7,7,2,55.0,not available,False,263636
real_estate_agent,2,4,2,60.4,not available,False,333361
real_estate_agent,5,5,1,54.7,Гостиный двор,True,402194
real_estate_agent,5,18,2,65.0,not available,False,350000
developer,2,12,1,37.4,not available,False,135000
real_estate_agent,3,14,1,38.8,not available,False,152062
developer,12,15,2,46.5,not available,False,150000
real_estate_agent,1,12,2,54.5,not available,False,135780
unknown,2,3,2,35.5,not available,False,264789
developer,12,21,1,38.59,Калитники,True,319992
real_estate_agent,8,22,2,70.5,Угрешская,True,392199
representative_developer,2,24,1,30.3,not available,False,175652
realtor,15,20,1,43.12,not available,False,135668
real_estate_agent,4,5,1,31.3,not available,False,210863
real_estate_agent,14,16,1,36.0,Проспект Большевиков,True,191667
real_estate_agent,19,19,1,24.0,not available,False,345833
real_estate_agent,1,5,1,40.9,Купчино,True,222494
real_estate_agent,4,5,2,58.0,Елизаровская,True,181034
homeowner,8,8,2,44.0,not available,False,268182
real_estate_agent,12,18,2,69.72,Проспект Большевиков,True,261761
developer,2,13,2,85.9,not available,False,220000
real_estate_agent,5,16,2,56.1,Октябрьская,True,156684
developer,1,10,2,61.06,not available,False,149897
real_estate_agent,11,12,1,34.8,Щёлковская,True,268678
developer,3,8,2,76.5,not available,False,164000
realtor,8,27,2,74.3,ЗИЛ,True,376851
developer,2,9,2,66.53,not available,False,438900
real_estate_agent,4,20,1,76.13,Тульская,True,422500
real_estate_agent,21,26,1,35.3,Улица Дыбенко,True,240793
realtor,3,5,2,52.8,Купчино,True,186553
homeowner,9,15,2,70.0,not available,False,150000
real_estate_agent,8,9,1,50.0,not available,False,305000
real_estate_agent,15,20,2,60.0,not available,False,325000
homeowner,8,9,2,44.0,Золотая Нива,True,170455
developer,10,16,1,46.7,not available,False,170000
developer,5,9,2,56.8,not available,False,184859
developer,3,8,2,77.4,not available,False,149225
real_estate_agent,1,8,2,49.3,not available,False,283976
unknown,4,5,1,33.0,not available,False,136364
representative_developer,2,21,1,33.66,not available,False,140000
real_estate_agent,15,15,1,35.0,not available,False,142857
representative_developer,4,12,1,33.7,not available,False,165000
representative_developer,12,16,1,56.07,not available,False,144997
real_estate_agent,7,18,2,45.0,not available,False,184611
real_estate_agent,7,9,1,31.8,Щёлковская,True,283019
real_estate_agent,3,22,1,39.0,not available,False,273077
representative_developer,13,15,2,49.8,not available,False,230000
